DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1016/j.tra.2004.07.001,,,"Car use: lust and must. Instrumental, symbolic and affective motives for car use","This paper reports results of two questionnaire studies aimed at examining various motives for car use. In the first study, a random selection of 185 respondents who possess a driving licence were interviewed. Respondents were recruited from the cities of Groningen and Rotterdam, The Netherlands. The sample of the second study comprised a random selection of 113 commuters who regularly travelled during rush hours in and around Rotterdam, a region in the west of the Netherlands. First, it was examined which categories of car use motives may be distinguished. As proposed by Dittmar's (1992) [The social psychology of material possessions: to have is to be. Havester Wheatsheaf, Hemel Hempstead, UK; St. Martin's Press, New York] model on the meaning of material possessions, results from both studies revealed that car use not only fulfils instrumental functions, but also important symbolic and affective functions. Second, it was studied to what extent these different motives are related to the level of car use. From the results of study 2, it appeared that commuter car use was most strongly related to symbolic and affective motives, and not to instrumental motives. Third, individual differences in the relative importance of the three categories of motives were investigated. In both studies, most group differences were found in the evaluation of the symbolic and affective motives (and not the instrumental ones). Especially frequent drivers, respondents with a positive car attitude, male and younger respondents valued these non-instrumental motives for car use. These results suggest that policy makers should not exclusively focus on instrumental motives for car use, but they should consider the many social and affective motives as well.",Linda Steg,Transportation Research Part A-policy and Practice,2005
10.1016/0749-5978(91)90020-t,,,The theory of planned behavior,"Research dealing with various aspects of* the theory of planned behavior (Ajzen, 1985, 1987) is reviewed, and some unresolved issues are discussed. In broad terms, the theory is found to be well supported by empirical evidence. Intentions to perform behaviors of different kinds can be predicted with high accuracy from attitudes toward the behavior, subjective norms, and perceived behavioral control; and these intentions, together with perceptions of behavioral control, account for considerable variance in actual behavior. Attitudes, subjective norms, and perceived behavioral control are shown to be related to appropriate sets of salient behavioral, normative, and control beliefs about the behavior, but the exact nature of these relations is still uncertain. Expectancy— value formulations are found to be only partly successful in dealing with these relations. Optimal rescaling of expectancy and value measures is offered as a means of dealing with measurement limitations. Finally, inclusion of past behavior in the prediction equation is shown to provide a means of testing the theory*s sufficiency, another issue that remains unresolved. The limited available evidence concerning this question shows that the theory is predicting behavior quite well in comparison to the ceiling imposed by behavioral reliability. © 1991 Academic Press. Inc.",Icek Ajzen,Organizational Behavior and Human Decision Processes,1991
10.1016/s0967-070x(00)00022-6,,,"SEAMLESS, ACCESSIBLE TRAVEL: USERS' VIEWS OF THE PUBLIC TRANSPORT JOURNEY AND INTERCHANGE","Emphasis on the need to reduce the deterrence effects and costs associated with interchange, so that increasingly seamless public transport journeys can be provided, is now a key policy goal. This paper reports the findings from a series of focus groups and in-depth interviews of both public transport users and car users that were undertaken for a Scottish Executive funded study on interchange and travel choice. It explores how interchange is perceived and how this perception deters public transport use amongst car users or limits public transport use amongst public transport users. The paper also provides insights into lifestyles, the decision-making processes and types of considerations that are made at key stages in the journeys of both car users and public transport passengers.","Julian Hine,J Scott",Transport Policy,2000
10.1016/j.tranpol.2005.12.004,,,"The demand for public transport: The effects of fares, quality of service, income and car ownership","This paper reports on key findings from a collaborative study whose objective was to produce an up-to-date guidance manual on the factors affecting the demand for public transport for use by public transport operators and planning authorities, and for academics and other researchers. Whilst a wide range of factors was examined in the study, the paper concentrates on the findings regarding the influence of fares, quality of service and income and car ownership. The results are a distillation and synthesis of identified published and unpublished information on the factors affecting public transport demand. The context is principally that of urban surface transport in Great Britain, but extensive use was made in the study of international sources and examples.","Neil Paulley,Richard Balcombe,Roger Mackett,Helena Titheridge,John Preston,Mark Wardman,Jeremy Shires,Peter White,Peter White,Peter White",Transport Policy,2006
10.1111/j.1540-4560.2007.00500.x,,,"Travel Demand Management Targeting Reduced Private Car Use: Effectiveness, Public Acceptability and Political Feasibility","The private car is fast, comfortable, and convenient. However, worldwide massive car use causes serious environmental problems. Although breakthroughs in clean automobile technology may be under way, reducing car use seems necessary in order to achieve a sustainable transportation system. Several travel demand management (TDM) measures have therefore been proposed and some have been implemented with this aim. The article reviews research addressing the question of how effective, acceptable to the public, and politically feasible such measures are. The conclusion is that noncoercive TDM measures alone are unlikely to be effective in reducing car use. Therefore, coercive TDM measures such as increasing cost for or prohibiting car use may be necessary but are difficult to implement because of public opposition and political infeasibility. If combined with noncoercive TDM measures providing attractive travel alternatives and communicating the benefits of car-use reduction to the public, coercive TDM measures are likely to become more effective, acceptable, and politically feasible.","Tommy Gärling,Geertje Schuitema",Journal of Social Issues,2007
10.1177/147078530304500101,,,A comparison of approaches to Importance-Performance Analysis,"Several different approaches have been used to undertake Importance-Performance Analysis (IPA), aka quadrant analysis or gap analysis. This study compares methods across 15 datasets and finds that ...",Donald R. Bacon,International Journal of Market Research,2003
,,,The Developing World's Motorization Challenge,"Motorization is transforming cities and even rural areas of the developing world. The economic and social benefits are enormous. It provides individual flexible transportation in urban areas and reduced manual labor and improved market access in rural areas. In the longer term, however, motorization may stifle local development, increase pollution, and create unprecedented safety hazards. Without careful attention to the motorization process, disaster looms for cities of the developing world-- disaster from which the industrialized countries cannot be isolated.","Daniel Sperling,Eileen Clausen",Issues in Science and Technology,2003
10.1023/a:1021230223001,,,Introduction: Habitual travel choice,"In this introduction to the special issue on habitual travel choice, we provide a brief account of the role of habit in travel behaviour, discuss more generally what habitual choice is, and briefly review the issues addressed in the solicited papers. These issues include how habitual travel behaviour should be measured, how to model the learning process that makes travel choice habitual, and how to break and replace car-use habits.","Tommy Gärling,Kay W. Axhausen",Transportation,2003
,,,WHAT DOES A ONE-MONTH FREE BUS TICKET DO TO HABITUAL DRIVERS?`,"Travel mode choice depends on psychological factors such as beliefs, attitudes and habits that may be influenced by the service level of the transportation mode. This paper hypothesizes that if a temporary change in public transportation service level induces lasting psychological changes, travel mode choice also may permanently change. An experiment targeting 43 drivers was conducted, in which a one-month free bus ticket was given to 23 drivers in an experimental group but not to 20 drivers in a control group. Attitudes towards, habits of and frequency of using automobiles and buses were measured immediately before, immediately after and one month after the one-month long intervention. Results showed that attitudes toward bus were more positive, frequency of bus use increased, and the habit of automobile use decreased from before the intervention, even one month after the intervention period. Furthermore, the increase in habitual bus use had the largest effect on the increase in the frequency of bus use. The results indicate a temporary structural change does seem to have the potential to change habit, attitude and travel mode choice, making it an effective candidate as a travel demand management tool.","Satoshi Fujii,Ryuichi Kitamura",,2003
,,,"Public transport : its planning, management, and operation",1. Organisation and Control of Transport in the British Isles 2. The Role of Public Transport 3. Service Quality and Marketing 4. The Technology of Bus and Coach Systems 5. Urban Railways and Rapid Transit Systems 6. Network Planning 7. Costing and Cost Allocation Methods 8. Pricing Theory and Practice 9. Rural Public Transport 10. Intercity Public Transport 11. Some Current Policy Issues,"Peter White,Peter White,Peter White",,1995
,,,Delivering Quality Service : Balancing Customer Perceptions And Expectations,"Excellence in customer service is the hallmark of success in service industries and among manufacturers of products that require reliable service. But what exactly is excellent service? It is the ability to deliver what you promise, say the authors, but first you must determine what you can promise. Building on seven years of research on service quality, they construct a model that, by balancing a customer's perceptions of the value of a particular service with the customer's need for that service, provides brilliant theoretical insight into customer expectations and service delivery.","Valarie A. Zeithaml,Ananthanarayanan Parasuraman,Leonard L. Berry",,1990
10.11175/eastpro.2007.0.46.0,,,A reflection of motorization and public transport in Jakarta Metropolitan Area : lesson learned and future implications towards better transportation development in developing countries,This article provides a description of the influences of motorization trends on the urban residents’ travel patterns in the Jakarta Metropolitan Area (JMA) in the last decade. The performance of th ...,"Yusak O. Susilo,Tri Basuki Joewono,Wimpy Santosa,Danang Parikesit",Journal of the Eastern Asia Society for Transportation Studies,2007
,,,Predictably Irrational: The Hidden Forces That Shape Our Decisions,"Why do smart people make irrational decisions every day? The answers will surprise you. Predictably Irrational is an intriguing, witty and utterly original look at why we all make illogical decisions. Why can a 50p aspirin do what a 5p aspirin can't? If an item is ""free"" it must be a bargain, right? Why is everything relative, even when it shouldn't be? How do our expectations influence our actual opinions and decisions? In this astounding book, behavioural economist Dan Ariely cuts to the heart of our strange behaviour, demonstrating how irrationality often supplants rational thought and that the reason for this is embedded in the very structure of our minds. Predicatably Irrational brilliantly blends everyday experiences with a series of illuminating and often surprising experiments, that will change your understanding of human behaviour. And, by recognising these patterns, Ariely shows that we can make better decisions in business, in matters of collective welfare, and in our everyday lives from drinking coffee to losing weight, buying a car to choosing a romantic partner.",Dan Ariely,,2008
10.1016/j.tra.2013.01.009,,,Linking modal choice to motility: a comprehensive review,"Modal choice is determined by a whole range of factors that are interrelated to a larger or smaller extent. It is often the result of a very compound choice process that can take place consciously or unconsciously and that includes objective as well as subjective determinants. Despite its significance in our daily life, there is no uniform way to define and analyze the concept of modal choice. The aim of this review is to fill this gap by elaborating a common modal choice definition and by providing a comprehensive review on the concept of modal choice through linking it to Kaufmann’s motility concept. By doing so, this review will not only contribute to an improved knowledge on different modal choice determinants and their interdependencies, but can also assist to the understanding and modeling of modal choice decisions. The review can therefore help increasing the effectiveness of policy measures taken by environmental, urban and transport policy makers.","Astrid De Witte,Joachim Hollevoet,Frédéric Dobruszkes,Michel Hubert,Cathy Macharis,Cathy Macharis",Transportation Research Part A-policy and Practice,2013
10.1111/j.1559-1816.2002.tb02068.x,,,Extending the theory of planned behavior: Predicting the use of public transportation,"An expanded version of the theory of planned behavior (TPB) was used to predict and explain public transportation use. A pre-post design was used to examine changes in university students’ bus ridership after the implementation of a universal bus pass (U-pass) program. Bus ridership significantly increased after the U-pass was implemented, and associated changes in attitudes and beliefs about transportation modes were found. In both phases, students’ public transportation use was well predicted by the original TPB. However, 2 additional constructs—a descriptive norm, and the interaction between intention and perceived behavioral control—significantly improved prediction in both phases of the study. These constructs might be useful additions to the original TPB, at least in this behavioral domain.","Yuko Heath,Robert Gifford",Journal of Applied Social Psychology,2002
10.5038/2375-0901.12.2.1,,,Examining the factors that impact public transport commuting satisfaction,"The first aim of this research was to examine the level of stress caused by commuting into Dublin's city center. The second aim was to determine the value placed on the comfort and reliability of public transport services. An online survey of workers who commute daily into Dublin was conducted, which collected data on the respondents' typical commute, commute-related stress, and socioeconomic background. Commute satisfaction levels among public transport users were found to decrease for those who travel on crowded or unreliable services and those who have long wait-times. Stated preference scenarios relating to crowding and reliability were analyzed using a multinomial logit model. The model showed that utility derived increases as crowding decreases and as reliability increases.","Mairead Cantwell,Brian Caulfield,Margaret O'Mahony",The Journal of Public Transportation,2009
10.1016/s0967-070x(00)00024-x,,,Transport and social exclusion in London,Few studies explicitly link transport and social exclusion and yet there is increasing pressure from policy-makers in the UK to do so. We propose a conceptual framework which links the two and examine a selection of indicators which might be used in assessing the outcomes of policies designed to use increased mobility to reduce exclusion. An illustrative example of the use of London Transport's CAPITAL model is demonstrated to assess access to regeneration sites. We conclude that increasing access to activities and services requires combating individuals' constraints at either end of their journey in addition to transport system improvements.,"Andrew Church,Martin Frost,K Sullivan",Transport Policy,2000
10.1016/s0965-8564(02)00075-7,,,Service quality––developing a service quality index in the provision of commercial bus contracts,"The measurement of service quality continues to be a challenging research theme and one of great practical importance to service providers and regulatory agencies. The key challenges begin with the identification of the set of potentially important dimensions of service quality perceived by passengers, current and potential. We then have to establish a way of measuring each attribute and identifying their relative importance in the overall calculation of satisfaction associated with existing service levels. Once a set of relevant attributes has been identified, this information can be integrated into programs such as monitoring and benchmarking, and even in contract specification. This paper, building on earlier research by the authors, investigates ways of quantifying service quality and comparing the levels within and between bus operators. The importance of establishing suitable market segments and the need to scale the service quality index for each operator to make meaningful comparisons is highlighted.","David A. Hensher,Peter R. Stopher,Philip Bullock",Transportation Research Part A-policy and Practice,2003
